Approved Symbol,Synonyms and Symbols
ACBD3,"GOLPH1, GOCAP1,GCP60, PAP7"
AKAP1,"PRKA1,AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17"
AKAP10,"D-AKAP2, PRKA10, MGC9414"
AKAP11,"KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44"
AKAP12,"AKAP250, SSeCKS"
AKAP13,"LBC,Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13"
AKAP14,AKAP28
AKAP17A,"CXYorf3, SFRS17A,XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133"
AKAP17BP,"AKAP16B, AKAP16BP,"
AKAP2,"PRKA2,AKAP-KL, KIAA0920, DKFZp564L0716"
AKAP3,"FSP95, SOB1, AKAP110, CT82"
AKAP4,"p82, hAKAP82, AKAP82, Fsc1, HI, CT99"
AKAP5,"AKAP75, AKAP79"
AKAP6,"KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6"
AKAP7,"AKAP18, AKAP15"
AKAP8,"AKAP95, DKFZp586B1222"
AKAP9,"KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11"
ARFGEF2,BIG2
CBFA2T3,"MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2"
CMYA5,"C5orf10,myospryn, SPRYD2, DKFZp451G223, TRIM76"
EZR,VIL2
MAP2,"MAP2A, MAP2B, MAP2C"
MYO7A,"USH1B, DFNB2, DFNA11,NSRD2"
MYRIP,"DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C"
NBEA,"KIAA1544, BCL8B, FLJ10197, LYST2"
NF2,"merlin, ACN, SCH, BANF"
RAB32,
SPHKAP,SKIP
SYNM,"DMN,KIAA0353, SYN"
WASF1,"WAVE1, SCAR1, KIAA0269, WAVE"
DUSP1,"PTPN10,HVH1, CL100, MKP-1"
DUSP10,"MKP-5, MKP5"
DUSP16,"MKP-7, KIAA1700, MKP7"
DUSP2,PAC-1
DUSP4,"HVH2, MKP-2, TYP"
DUSP5,HVH3
DUSP6,"MKP-3, PYST1"
DUSP7,"MKP-X, PYST2"
DUSP8,"C11orf81,HVH-5, HB5, FLJ42958"
DUSP9,"MKP-4, MKP4"
STYXL1,"DUSP24,MK-STYX"
MOB1A,"C2orf6, MOBK1B, MOBKL1B,FLJ10788, MOB1, FLJ11595, Mob4B, Mats1"
MOB1B,"MOBKL1A,MOB4A"
MOB2,HCCA2
MOB3A,"MOBKL2A,MOB1C, MOB-LAK, moblak"
MOB3B,"MOBKL2B, C9orf35,MOB1D, FLJ13204"
MOB3C,"MOBKL2C,MOB1E"
MOB4,"PREI3, MOBKL3,MOB3, DKFZP564M112, CGI-95, 2C4D, PHOCN"
CLK1,
CLK2,clk2
CLK3,clk3
CLK4,
GK,"GK1, GKD"
GK2,"GKP2,GKTA"
GK3P,"GKP3,GKTB"
GK4P,GKP6
GK5,MGC40579
GK6P,"GK7P, GKP1"
AK1,
AK2,
AK3,"AK6, AK3L1,AKL3L1"
AK4,"AK3, AK3L1"
AK5,
AK6,CINAP
AK7,FLJ32864
AK8,"C9orf98,FLJ32704"
AK9,"C6orf224, AKD2, C6orf199, AKD1,FLJ42177, FLJ25791, dJ70A9.1, MGC26954"
DGKA,"DAGK, DAGK1,DGK-alpha"
DGKB,"DAGK2,KIAA0718, DGK, DGK-BETA"
DGKD,"KIAA0145, DGKdelta"
DGKE,"DAGK6, DGK"
DGKG,"DAGK3,"
DGKH,DGKeta
DGKI,DGK-IOTA
DGKK,
DGKQ,"DAGK4,DAGK, DAGK7"
DGKZ,"DAGK5, hDGKzeta, DGK-ZETA, DAGK6"
SCYL1,"NTKL,HT019, P105, GKLP, NKTL, TAPK, TRAP, TEIF, MGC78454"
SCYL2,"KIAA1360, CVAK104"
SCYL3,"PACE-1, PACE1"
CDK1,"CDC2,CDC28A"
CDK10,PISSLRE
CDK11A,"CDC2L3, CDC2L2,PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA"
CDK11B,"CDC2L1,CDK11-p110, CDK11-p58, CDK11-p46"
CDK12,"CRKRS,CRK7, CRKR, KIAA0904"
CDK13,"CDC2L5,CHED, CDC2L, KIAA1791"
CDK14,"PFTK1,PFTAIRE1"
CDK15,"ALS2CR7, PFTK2,PFTAIRE2"
CDK16,"PCTK1,PCTAIRE, PCTAIRE1, PCTGAIRE, FLJ16665"
CDK17,"PCTK2,PCTAIRE2"
CDK18,"PCTK3,PCTAIRE3"
CDK19,"CDK11, CDC2L6,KIAA1028, bA346C16.3"
CDK2,
CDK20,"CCRK,p42"
CDK3,
CDK4,PSK-J3
CDK5,PSSALRE
CDK6,PLSTIRE
CDK7,"CAK1, CDKN7, MO15, STK1, CAK"
CDK8,K35
CDK9,"CDC2L4,PITALRE, C-2k, TAK"
CDKL1,KKIALRE
CDKL2,"P56, KKIAMRE"
CDKL3,NKIAMRE
CDKL4,
CDKL5,"STK9,EIEE2, CFAP247"
PFKFB1,PFRX
PFKFB2,
PFKFB3,
PFKFB4,
AATK,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"
ALK,CD246
AXL,"UFO, JTK11, Tyro7, ARK"
CSF1R,"FMS,C-FMS, CSFR, CD115"
DDR1,"NTRK4, PTK3A, NEP, CAK, EDDR1,RTK6, CD167"
DDR2,"TYRO10, NTRKR3,TKT"
FGFR1,"FLT2, KAL2,H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331"
FGFR2,"KGFR, BEK, CFD1, JWS,CEK3, TK14, TK25, ECT1, K-SAM, CD332"
FGFR3,"ACH,CEK2, JTK4, CD333"
FGFR4,"JTK2, CD334"
FLT1,"FLT,VEGFR1"
FLT3,"STK1, FLK2, CD135"
FLT4,"VEGFR3, PCL"
IGF1R,"JTK13, CD221, IGFIR, MGC18216, IGFR"
INSR,CD220
INSRR,IRR
KDR,"FLK1, VEGFR, VEGFR2, CD309"
KIT,"PBT,CD117, SCFR, C-Kit"
LMTK2,"KIAA1079, KPI2, KPI-2, cprk, LMR2, BREK, AATYK2, PPP1R100"
LMTK3,"KIAA1883, LMR3, TYKLM3, PPP1R101"
LTK,TYK1
MERTK,"mer, RP38, c-Eyk, Tyro12"
MET,"HGFR, RCCP2, DFNB97"
MST1R,"RON, PTK8,CDw136, CD136"
MUSK,
NTRK1,"TRK, TRKA, MTC"
NTRK2,TRKB
NTRK3,TRKC
PDGFRA,"CD140a, PDGFR2, GAS9"
PDGFRB,"PDGFR,JTK12, CD140b, PDGFR1"
PTK7,CCK4
RET,"HSCR1, MEN2A, MTC1, MEN2B,PTC, CDHF12, RET51, CDHR16"
ROR1,NTRKR1
ROR2,"NTRKR2, BDB, BDB1"
ROS1,"MCF3, ROS, c-ros-1"
RYK,"JTK5A,D3S3195, RYK1, JTK5"
STYK1,"SuRTK106, DKFZp761P1010, NOK"
TEK,"VMCM,TIE2, TIE-2, VMCM1, CD202b"
TIE1,"TIE,JTK14"
TYRO3,"RSE,Dtk, Brt, Tif, Sky, Etk-2, Rek"
PIK3C2A,PI3K-C2alpha
PIK3C2B,"C2-PI3K, PI3K-C2beta"
PIK3C2G,
PIK3C3,Vps34
PIK3CA,PI3K
PIK3CB,PIK3C1
PIK3CD,p110D
PIK3CG,
DAPK1,DAPK
DAPK2,"DRP-1, MGC119312"
DAPK3,"ZIP, ZIPK"
STK17A,DRAK1
STK17B,DRAK2
EGFR,"ERBB,ERBB1"
ERBB2,"NGL,NEU, HER-2, CD340, HER2"
ERBB3,"LCCS2,HER3"
ERBB4,"ALS19, HER4"
MAP4K1,HPK1
MAP4K2,"RAB8IP,GCK, BL44"
MAP4K3,"RAB8IPL1,GLK, MAPKKKK3"
MAP4K4,"HGK, NIK, FLH21957"
MAP4K5,"KHS1, GCKR, KHS"
ARAF,ARAF1
BRAF,BRAF1
MAP3K1,"MEKK1,MEKK, MAPKKK1"
MAP3K10,"MLK2,MST, MEKK10"
MAP3K11,"MLK3, PTK1,SPRK, MEKK11"
MAP3K12,"ZPK,MUK, DLK, ZPKP1, MEKK12"
MAP3K13,"LZK, MEKK13"
MAP3K14,"NIK, HSNIK, FTDCR1B, HS"
MAP3K15,"bA723P2.3, FLJ16518, ASK3"
MAP3K19,"YSK4,FLJ23074, RCK"
MAP3K2,"MEKK2,MEKK2B"
MAP3K3,"MEKK3,MAPKKK3"
MAP3K4,"MEKK4,MTK1, MAPKKK4, KIAA0213"
MAP3K5,"MEKK5,MAPKKK5, ASK1"
MAP3K6,"MAPKKK6, ASK2, MEKK6"
MAP3K7,"TAK1,MEKK7"
MAP3K8,"COT, ESTF,Tpl-2, EST, c-COT, MEKK8"
MAP3K9,"MLK1,PRKE1, MEKK9"
RAF1,"Raf-1, c-Raf, CRAF"
TAOK1,"KIAA1361, MARKK, PSK2, MAP3K16, FLJ14314, TAO1"
TAOK2,"TAO1, KIAA0881, PSK, PSK1, TAO2, MAP3K17"
TAOK3,"JIK, DPK, MAP3K18"
MAP2K1,"PRKMK1,MEK1, MAPKK1"
MAP2K2,"PRKMK2,MEK2"
MAP2K3,"PRKMK3,MEK3, MKK3, MAPKK3"
MAP2K4,"SERK1,MEK4, JNKK1, PRKMK4, MKK4"
MAP2K5,"PRKMK5,MEK5, MAPKK5, HsT17454"
MAP2K6,"PRKMK6,MEK6, MKK6, SAPKK3, MAPKK6"
MAP2K7,"PRKMK7,MKK7, Jnkk2"
MAPKAPK2,
MAPKAPK3,"3pK, MAPKAP3, 3PK"
MAPKAPK5,PRAK
RPS6KA1,"RSK, RSK1, HU-1, p90Rsk"
RPS6KA2,"RSK, RSK3, HU-2"
RPS6KA3,"MRX19, CLS,RSK, RSK2, HU-3"
RPS6KA4,"RSK-B, MSK2"
RPS6KA5,"MSK1, RLPK"
RPS6KA6,RSK4
MKNK1,MNK1
MKNK2,"GPRK7,MNK2"
MAPK1,"PRKM2, PRKM1,ERK, ERK2, p41mapk, MAPK2"
MAPK10,"PRKM10,JNK3, p493F12, p54bSAPK"
MAPK11,"PRKM11,p38-2, p38Beta, SAPK2"
MAPK12,"SAPK3,ERK6, PRKM12, p38gamma, SAPK-3"
MAPK13,"PRKM13,SAPK4, p38delta"
MAPK14,"CSPB1, CSBP1, CSBP2,PRKM14, p38, Mxi2, PRKM15"
MAPK15,"ERK8, ERK7"
MAPK3,"PRKM3,ERK1, p44mapk, p44erk1"
MAPK4,"PRKM4,Erk3-related, Erk4"
MAPK6,"PRKM6,ERK3, p97MAPK, HsT17250"
MAPK7,"PRKM7,BMK1, ERK5"
MAPK8,"PRKM8,JNK, JNK1, SAPK1"
MAPK9,"PRKM9,JNK2, p54a, SAPK"
PRKCA,"PKCA,"
PRKCB,"PRKCB2, PKCB, PRKCB1"
PRKCD,
PRKCE,
PRKCG,"PKCG, SCA14,PKCC, MGC57564"
PRKCH,"PRKCL,PKC-L, PKCL"
PRKCQ,
PKN1,"PRKCL1,DBK, PRK1, PKN, MGC46204, PAK1"
PKN2,"PRKCL2,PRK2, Pak-2, STK7"
PKN3,"PKNbeta, UTDP4-1"
CARD10,"CARMA3, BIMP1"
CARD11,"CARMA1, BIMP3"
CARD14,"PSORS2,CARMA2, BIMP2"
CASK,"TNRC8,LIN2, CAGH39, FGS4"
DLG1,"SAP97, SAP-97, hdlg, DLGH1, dJ1061C18.1.1"
DLG2,"PSD-93, PSD93, chapsyn-110, PPP1R58"
DLG3,"NE-Dlg, SAP102, SAP-102, NEDLG, KIAA1232, MRX90, PPP1R82"
DLG4,"PSD-95, PSD95, SAP90, SAP-90"
DLG5,"P-dlg, KIAA0583"
MAGI1,"BAIAP1,BAP1, MAGI-1, TNRC19, AIP3, WWP3"
MAGI2,"AIP1, ARIP1, KIAA0705, ACVRIP1, MAGI-2"
MAGI3,MAGI-3
MPP1,"DXS552E,PEMP"
MPP2,"DLG2,DKFZp761D0712"
MPP3,DLG3
MPP4,DLG6
MPP5,"PALS1, FLJ12615"
MPP6,"PALS2, VAM-1, p55T"
MPP7,FLJ32798
TJP1,"ZO-1, MGC133289, DKFZp686M05161"
TJP2,"DFNA51,ZO-2, X104, ZO2"
TJP3,ZO-3
CACNB1,CACNLB1
CACNB2,"MYSB, CACNLB2"
CACNB3,CACNLB3
CACNB4,EJM4
ACVR1,"ACVRLK2,SKR1, ALK2, ACVR1A"
ACVR1B,"ACVRLK4,ALK4, SKR2, ActRIB"
ACVR1C,"ALK7, ACVRLK7"
ACVRL1,"ACVRLK1, ORW2,HHT2, ALK1, HHT"
BMPR1A,"ACVRLK3,ALK3, CD292"
BMPR1B,"ALK6, CDw293"
TGFBR1,"MSSE, ESS1,ALK-5, ACVRLK4, ALK5"
ACVR2A,"ACVR2,ACTRII"
ACVR2B,ActR-IIB
AMHR2,"MISR2, MISRII"
BMPR2,"PPH1,BRK-3, T-ALK, BMPR3, BMPR-II"
TGFBR2,MFS2
